type,speaker,text,slot,sprite_key,mode,audio_key
bg,,,,game02_dialog_bg,,
bgm,,,,,,bgm_maoudamashii_minzoku11
line,語り部,地上へ帰還し一息ついて、スマホをのぞき込む駒山キリ。,,,,
line,語り部,——無事の帰還を喜ぶコメントに、ほっとしたのもつかの間。,,,,
line,語り部,画面の端に、見慣れない通知がひとつ。,,,,
line,?????,【案件依頼：銀河系統合広告代理店】,,,,
line,語り部,それは通常の案件通知ではなかった。,,,,
line,語り部,発信元は地球外。座標でしか場所を示せない、宇宙規格の企業。,,,,
line,代理店担当,太陽系監視中に撮られた、あなたの落下映像は、異星視聴者群から、強い関心を獲得しています。,,,,
line,代理店担当,つきましては、銀河規模での、バズ創出案件を、提案します。,,,,
line,駒山キリ,「……は？ 今、燃えたばかりなんだけど？」,,,,
line,駒山キリ,「耐断熱圧縮のポーズを知ってなければ、燃え尽きてたんだけど？」,,,,
line,語り部,交渉は一方的に開始された。,,,,
line,代理店担当,報酬は重力単位換算で、高額です。地球通貨への変換は、保証します。,,,,
line,代理店担当,条件は、太陽系圏に限定せず、宇宙全体での認知獲得です。,,,,
line,駒山キリ,「宇宙“全体”ってなに？ 範囲デカすぎない？」,,,,
line,語り部,代理店担当は感情を乗せず、必要事項だけを提示する。,,,,
line,代理店担当,現在、あなたの生身での大気圏突入動画、は複数文明圏で、断片受信されています。,,,,
line,語り部,その瞬間、コメント欄がざわめいた。,,,,
line,コメント欄,「光速遅延で今届いた、見れてないけどSUGOI」,,,,
line,コメント欄,「ウラシマ効果でまだ駒山が燃え始めたところ」,,,,
line,コメント欄,「ブラックホール経由で見てる、音ズレしてるけど神回」,,,,
line,コメント欄,「重力強すぎてコメント送信に2年かかった」,,,,
line,コメント欄,「0111000101001110101001010000101010101101」,,,,
line,駒山キリ,「いや“見れてないけど”って、もうなんでもありじゃん」,,,,
line,代理店担当,我々は、この状況を、 可能性、 と定義した。,,,,
line,代理店担当,宇宙は広い、ゆえに、バズは、遅れて多方面に発生します。,,,,
line,代理店担当,タキオン配信、重力圏バズ、多次元拡散、2重スリット量子スピンネットワーク、すべて当方で制御提供可能です。,,,,
line,駒山キリ,「タキオン配信ってなに？」,,,,
line,語り部,提示されたプランは簡潔だった。,,,,
line,代理店担当,あなたの認知度を、コンテンツとして、最大化し、銀河規模の注目を獲得、我々はそれを、エネルギーに変換します。,,,,
line,駒山キリ,「いや無理でしょ普通に」,,,,
line,語り部,しかし、そのとき……,,,,
line,語り部,高速に流れるコメント欄の隅で、ひとつのコメントが流れた。,,,,
line,語り部,それは最初の配信で見かけた、あの視聴者からだった。,,,,
line,surveillance,「バズって」,,,,
line,語り部,高額投げ銭と共に……。,,,,
line,語り部,あまりに唐突で、あまりに単純なその願いは——当時、駒山の目には留まらず流れてしまった。,,,,
line,語り部,投げ銭に気づかないはずがない。,,,,
line,語り部,そのコメントは時空を歪ませ未来から過去に、書き込まれたものかもしれない。,,,,
line,語り部,どんな理由があったにせよ、コメントは流れ代理店のメッセージが静かに重なる。,,,,
line,代理店担当,需要は既に、存在しています。,,,,
line,代理店担当,あとは、届かせる、だけです。,,,,
line,駒山キリ,「……宇宙全体に？」,,,,
line,代理店担当,はい。,,,,
line,駒山キリ,「……はあ」,,,,
line,駒山キリ,「やるしかないか」,,,,
line,語り部,その瞬間、このやりとりは交渉でなくなった。,,,,
line,語り部,それは配信となり、演出となり、そして……,,,,
line,語り部,銀河規模のバズ実験が、始まった。,,,,
bgm_stop,,,,,2.0,
end,,,,,,
